encounter_id,reviewer_id,reviewer_role,los_days,human_quality,human_clarity,human_factuality,human_completeness,human_easy_understand,human_easy_verbalize,human_easy_follow_up,ai_quality,ai_clarity,ai_factuality,ai_completeness,ai_easy_understand,ai_easy_verbalize,ai_easy_follow_up,overall_preference
1,2,hospitalist,8,3,3,4,2,-1,-1,-1,4,5,5,4,-1,-1,-1,1
1,6,PCP,8,1,1,3,1,1,1,1,5,5,4,5,5,5,4,1
2,2,hospitalist,9,5,5,5,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
2,8,PCP,9,4,4,4,4,4,4,4,5,5,5,4,5,5,5,1
3,10,PCP,12,3,3,2,4,3,3,3,5,4,5,5,5,5,5,1
3,12,hospitalist,12,4,5,4,4,-1,-1,-1,4,4,4,5,-1,-1,-1,1
4,5,hospitalist,16,3,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
4,8,PCP,16,4,4,4,4,4,4,4,4,2,4,2,4,3,3,0
5,2,hospitalist,12,5,3,5,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
5,8,PCP,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
6,3,hospitalist,8,5,4,5,4,-1,-1,-1,5,5,5,4,-1,-1,-1,0
6,10,PCP,8,4,3,4,4,3,4,4,4,5,4,5,4,5,4,1
7,8,PCP,7,4,4,4,4,4,4,4,4,4,3,4,5,4,4,1
7,12,hospitalist,7,2,2,4,3,-1,-1,-1,4,4,5,4,-1,-1,-1,1
8,4,hospitalist,14,3,4,4,2,-1,-1,-1,4,5,4,4,-1,-1,-1,1
8,10,PCP,14,2,3,2,3,2,3,2,5,5,5,5,5,5,5,1
9,1,hospitalist,8,3,4,3,3,-1,-1,-1,4,3,4,5,-1,-1,-1,1
9,11,PCP,8,4,4,4,4,4,4,4,4,5,2,4,4,4,4,0
10,1,hospitalist,17,4,5,5,5,-1,-1,-1,5,4,5,5,-1,-1,-1,1
10,9,PCP,17,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1
11,4,hospitalist,9,3,3,4,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
11,6,PCP,9,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1
12,10,PCP,9,5,4,4,4,4,5,4,5,5,5,5,5,5,3,1
12,12,hospitalist,9,4,4,4,4,-1,-1,-1,5,4,5,5,-1,-1,-1,1
13,1,hospitalist,8,3,2,3,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
13,9,PCP,8,4,4,4,4,3,4,4,5,5,5,5,5,5,5,1
14,1,hospitalist,10,2,2,3,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
14,8,PCP,10,1,2,4,2,2,3,3,5,5,5,5,5,5,5,1
15,3,hospitalist,17,4,3,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
15,6,PCP,17,3,2,3,3,3,4,4,5,5,5,5,5,5,5,1
16,3,hospitalist,7,3,4,4,4,-1,-1,-1,4,4,4,4,-1,-1,-1,1
16,8,PCP,7,4,4,4,4,4,4,4,5,5,4,5,5,5,5,1
17,3,hospitalist,7,5,5,5,5,-1,-1,-1,5,5,4,5,-1,-1,-1,1
17,6,PCP,7,3,3,4,4,4,4,4,5,5,5,5,5,5,5,1
18,7,PCP,15,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1
18,12,hospitalist,15,2,4,3,2,-1,-1,-1,4,4,5,4,-1,-1,-1,1
19,1,hospitalist,19,4,5,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
19,11,PCP,19,2,4,3,2,4,2,2,4,4,4,4,4,4,4,1
20,1,hospitalist,7,4,5,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
20,7,PCP,7,2,2,4,4,2,2,2,4,5,5,5,5,5,5,1
21,4,hospitalist,7,3,3,3,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
21,10,PCP,7,4,4,4,3,4,5,4,4,4,4,5,4,4,3,1
22,5,hospitalist,11,3,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
22,7,PCP,11,1,1,3,2,1,1,1,5,5,5,5,5,5,5,1
23,4,hospitalist,11,3,4,4,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
23,6,PCP,11,2,2,3,2,3,2,2,5,5,5,5,5,5,5,1
24,5,hospitalist,10,3,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
24,6,PCP,10,4,4,4,4,5,5,5,4,4,4,4,5,5,5,1
25,3,hospitalist,12,4,5,5,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
25,9,PCP,12,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1
26,4,hospitalist,8,3,3,3,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
26,10,PCP,8,2,2,3,2,3,2,4,5,5,5,5,5,5,5,1
27,4,hospitalist,12,3,4,2,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
27,7,PCP,12,2,2,4,2,2,2,2,4,4,4,4,4,5,5,1
28,5,hospitalist,7,4,4,4,4,-1,-1,-1,3,4,4,4,-1,-1,-1,0
28,7,PCP,7,2,2,4,2,2,2,2,5,4,4,5,5,4,4,1
29,2,hospitalist,8,2,3,4,2,-1,-1,-1,5,5,5,4,-1,-1,-1,1
29,9,PCP,8,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1
30,2,hospitalist,19,2,3,3,1,-1,-1,-1,5,5,5,5,-1,-1,-1,1
30,9,PCP,19,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1
31,4,hospitalist,7,2,2,3,2,-1,-1,-1,5,5,5,5,-1,-1,-1,1
31,9,PCP,7,2,3,2,3,3,4,3,4,4,2,5,5,5,5,1
32,5,hospitalist,14,2,3,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
32,11,PCP,14,4,4,4,4,4,4,4,4,5,4,4,5,5,5,1
33,2,hospitalist,13,3,3,5,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
33,8,PCP,13,2,4,4,2,4,2,2,5,5,5,5,5,5,5,1
34,1,hospitalist,11,4,5,4,4,-1,-1,-1,4,4,3,4,-1,-1,-1,0
34,11,PCP,11,2,4,3,2,2,2,2,4,4,4,4,4,4,4,1
35,5,hospitalist,9,3,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
35,7,PCP,9,2,2,4,3,2,2,2,4,4,4,5,4,5,5,1
36,5,hospitalist,21,3,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
36,6,PCP,21,4,3,4,4,3,4,4,5,5,5,5,5,5,5,1
37,3,hospitalist,13,5,5,5,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
37,6,PCP,13,2,2,4,3,2,4,3,5,5,5,5,5,5,5,1
38,7,PCP,20,2,2,4,3,2,2,2,5,4,5,5,5,5,5,1
